AAPL
ABBV
ABT
ACN
AGN
AIG
AMZN
AXP
BA
BAC
BIIB
BK
BLK
BMY
C
CAT
CELG
CL
KO
LLY
LMT
MO
MON
MRK
PEP
PFE
PG
PM
PYPL
QCOM
RTN
RY.TO
SHOP.TO
T.TO
TD.TO
TXN
UNH
UNP
UPS
USB
BABA
TCEHY
WMT
TM
SAP
AZN
AC.TO
RIO
TTE
DEO
TSM
CP.TO
QSR.TO
WCN.TO
CVE.TO
ENE
TOY
BLOAQ
K.TO
NOK
CRM
MA
BAM.A.TO
WEED.TO
L.TO
MRU.TO
NEE
LEHMQ
SIA.TO
SU.TO
SJR.B.TO
BPY.UN.TO
QSR.TO
GM
DIS
SO
BNS.TO
DOL.TO
MFC.TO
KXS.TO
