,Ticker,Shares
1,OC,828.229153974087
2,EQT,2716.394561014626
3,MTDR,1877.6791433738847
4,COST,92.90142101021543
5,BG,249.9658274505425
6,LMAT,513.3343998772846
7,GSM,5542.764504174786
8,ORLY,27.617106450045174
9,LSCC,471.44035992682325
10,BKCC,7224.606132817897
